,km,nq,yd,gk,yj,tq,nb,re,ui,fd,ii,es,fb,hm,kv,tk,aa,lx,xe,gg,lu,fl,jg,fy,ti,dn,pa,qd,bc,od,vp,la,oo,sh,kg,lo,so,sn,ne,nm,vg,fc,aq,label
0,67,46,9,46,3,81,90,31,96,24,78,22,92,90,43,77,43,99,99,26,51,93,98,28,9,89,66,89,2,7,11,27,9,53,36,3,58,49,57,12,43,18,52,Glatt Kosher
1,45,37,21,47,66,46,22,12,4,29,73,79,69,76,23,43,42,94,69,35,20,84,98,72,66,43,98,8,44,89,24,32,73,89,43,0,51,48,94,22,80,89,51,Kosher LeMehadrin
2,95,23,75,24,56,29,67,90,83,97,95,15,62,43,93,69,12,16,19,12,57,36,52,77,47,37,23,38,86,13,100,62,22,29,17,57,72,69,83,62,58,97,82,OU Kosher
3,19,86,87,79,97,65,66,75,98,84,64,1,30,81,34,72,4,0,40,39,79,23,84,68,69,20,51,36,38,15,61,93,64,45,95,64,96,6,38,1,1,19,27,OU Kosher
4,40,59,44,87,98,44,88,93,55,16,87,54,59,88,1,83,4,48,29,83,83,3,0,84,34,65,98,66,27,42,11,27,18,59,88,97,15,22,76,26,58,5,62,Glatt Kosher
5,61,71,11,19,16,44,74,68,18,56,15,46,99,41,66,41,99,94,1,34,47,78,93,70,75,0,100,36,51,4,0,48,85,66,14,31,65,64,72,4,27,74,82,Kosher LeMehadrin
6,16,71,9,54,33,39,30,55,6,89,71,87,9,46,54,78,65,80,57,90,73,45,64,43,9,83,61,46,52,16,42,57,6,58,23,89,52,100,80,88,72,48,83,Non Kosher
7,72,58,0,87,42,81,99,13,23,70,37,33,27,97,49,16,89,73,12,57,1,72,5,88,75,85,50,51,78,54,83,31,78,59,13,94,62,10,61,53,24,44,9,Kosher LeMehadrin
8,54,3,31,40,28,25,68,29,28,13,68,57,83,90,53,43,45,62,86,50,8,75,86,69,61,4,14,17,94,46,69,54,86,10,11,38,42,81,4,56,11,60,10,Non Kosher
9,87,76,6,48,58,7,95,58,83,36,65,68,49,8,63,78,95,51,89,37,72,28,12,78,21,48,57,48,60,3,80,81,37,7,41,76,92,64,69,17,58,43,43,Non Kosher
10,43,4,41,65,26,89,45,77,1,47,17,30,65,8,16,6,36,8,39,30,42,37,35,35,88,20,80,2,41,27,65,71,34,48,37,84,24,7,62,73,30,74,67,OU Kosher
11,25,41,62,19,80,93,15,15,87,98,60,79,91,39,68,76,44,50,18,8,61,36,26,91,11,25,82,5,62,91,70,14,48,67,82,51,23,23,84,17,5,60,39,Glatt Kosher
12,24,38,16,10,99,4,66,8,77,90,80,73,34,95,46,3,96,76,25,15,18,4,85,14,74,93,65,70,80,100,55,95,64,49,56,15,69,35,93,31,89,84,30,Non Kosher
13,50,13,1,85,91,43,3,9,33,97,43,99,88,40,83,99,0,25,74,62,41,53,0,94,1,93,82,23,50,80,12,36,10,77,69,0,52,83,92,71,77,2,23,Glatt Kosher
14,79,59,37,58,2,90,26,13,12,93,42,10,58,83,93,12,69,23,36,72,61,94,30,57,99,50,3,7,74,29,20,44,51,19,77,95,97,72,41,84,48,47,65,Kosher LeMehadrin
15,72,74,21,1,34,30,22,37,96,96,32,11,43,2,32,97,85,53,57,40,46,84,66,8,46,20,28,55,45,31,3,92,1,10,23,61,49,31,12,24,48,0,37,OU Kosher
16,92,100,74,73,100,24,85,87,75,46,21,45,78,81,66,35,57,33,56,44,24,73,51,17,68,31,78,25,64,45,63,42,21,97,41,66,9,66,41,32,23,3,42,Kosher LeMehadrin
17,41,28,65,98,85,92,28,65,41,10,55,35,8,22,12,68,6,41,1,9,55,100,24,13,29,22,51,82,70,27,44,66,56,37,88,35,20,10,6,6,86,97,65,OU Kosher
18,96,6,29,48,36,2,59,87,80,21,19,69,67,52,17,15,77,38,27,40,2,92,11,45,97,60,78,49,19,33,12,65,76,84,88,5,33,86,34,96,40,80,94,Non Kosher
19,31,3,94,38,59,39,17,32,73,40,91,61,31,67,89,97,19,61,17,83,38,4,32,31,34,2,54,18,33,45,14,45,14,82,1,63,63,43,32,21,80,83,59,Glatt Kosher
20,100,54,52,63,28,47,0,28,52,84,46,14,62,13,30,23,93,14,53,93,0,51,80,86,52,92,80,48,65,69,89,4,34,67,0,25,18,38,61,72,88,28,13,Kosher LeMehadrin
21,25,45,74,65,85,92,96,97,80,50,12,28,4,90,83,3,14,92,4,79,90,17,8,3,92,97,61,98,92,87,80,12,54,38,26,37,48,53,80,65,6,65,37,Kosher LeMehadrin
